title,description,source,date_of_publication,category,author,link
HBCU x Essence - Essence,,essence.com,,,https://www.facebook.com/essence,https://www.essence.com/hbcu2024/
Education - Essence,Subscribe Now,essence.com,,Education,https://www.facebook.com/essence,https://www.essence.com/education/
History - Essence,Subscribe Now,essence.com,,History,https://www.facebook.com/essence,https://www.essence.com/history/
Opinion - Essence,Subscribe Now,essence.com,,Opinion,https://www.facebook.com/essence,https://www.essence.com/opinion/
Politics - Essence,Subscribe Now,essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/politics/
5 Reasons The Nolan Wells Case Angers Me As The Mother of A Black Son - Essence,Recent updates surrounding the Mississippi teen’s tragic death have made an already emotional matter even more infuriating—and the heartbreak feels far too familiar for Black parents everywhere.,essence.com,,Community,Bridgette Bartlett Royall,https://www.essence.com/news/5-reasons-nolan-wells-case-angers-me-as-mom-of-black-son/
Bridgette Bartlett Royall - Essence,,essence.com,,Authors,,https://www.essence.com/authors/bbartlett/
Barack Obama Released His Summer 2026 Reading List: See The Picks - Essence,"Our forever POTUS announced the page turners he’s most excited about this season, and two of our fave authors, Tayari Jones and Colson Whitehead made the cut.",essence.com,,Education,Alexis Bennett Parker,https://www.essence.com/news/barack-obama-released-his-summer-2026-reading-list/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/bridgette-bartlett-royall-0/
Mourning Nolan Xavier Wells: Why This Loss Feels So Personal For The Black Community - Essence,"The untimely death of the promising 18-year-old Mississippi football star—and the lack of answers surrounding it—is, unfortunately, far too familiar for us.",essence.com,,Community,Bridgette Bartlett,https://www.essence.com/news/mourning-nolan-xavier-wells-why-this-loss-feels-so-personal/
EXCLUSIVE: The Hands That Built The White House: Robin Roberts Explores Historic Family Discovery,Robin Roberts spotlights the first confirmed living descendants of an enslaved person who helped build the White House in a powerful new ABC News special.,essence.com,,News,Shelby Stewart,https://www.essence.com/news/exclusive-robin-roberts-white-house-enslaved-builder-descendants/
Shelby Stewart - Essence,,essence.com,,Authors,,https://www.essence.com/authors/sstewartessence-com/
Ashley Etienne Is Done Advising. Now She's The One To Watch.,The former political adviser for Vice President Kamala Harris is now a political contributor on the long-running political affairs show Meet the Press every Sunday morning.,essence.com,,News,Victoria Uwumarogie,https://www.essence.com/news/ashley-etienne-meet-the-press/
Texas Jury Sentences Karmelo Anthony To 35 Years In High-Profile Case,"Karmelo Anthony has been sentenced to 35 years in prison for the fatal stabbing of Austin Metcalf, concluding a Texas case that sparked national debate.",essence.com,,News,Shelby Stewart,https://www.essence.com/news/karmelo-anthony-sentenced-35-years/
"Sundial Media & Technology Group Launches THEIA, A New Creator Marketing Agency - Essence","Sundial launches THEIA, a new creator marketing agency led by Pamela Zapata, to help brands build meaningful creator partnerships.",essence.com,,Money & Career,Okla Jones,https://www.essence.com/news/money-career/sundial-media-launches-theia-creator-marketing-agency/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/okla-jones/
Kameirah Johnson's Black Hair Artwork Wins Google's National Contest,Johnson’s viral artwork celebrating Black hair culture earned her a $55k scholarship to NYU and a feature on the world's most famous homepage.,essence.com,,Lifestyle,https://www.facebook.com/essence,https://www.essence.com/lifestyle/black-hair-google-doodle/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/elizabeth-ayoola/
"Russell Wilson Retires From NFL, Announces Move To CBS - Essence","Russell Wilson retires after 14 NFL seasons, ending a decorated career and joining CBS Sports’ The NFL Today as an analyst.",essence.com,,Sports,https://www.facebook.com/essence,https://www.essence.com/entertainment/sports/russell-wilson-retires-from-nfl/
Family Of Cyrus Carmack-Belton Speaks Out After South Carolina Jury Acquits Store Owner In Fatal Shooting - Essence,The family of Cyrus Carmack-Belton is speaking out after a jury acquitted store owner Rick Chow in the 2023 fatal shooting of the 14-year-old.,essence.com,,News,https://www.facebook.com/essence,https://www.essence.com/news/cyrus-carmack-belton-family-reacts-chikei-rick-chow-acquittal/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/shelby-stewart/
Karen Bass Moves Forward In LA Mayor Race As City Confronts Housing And Safety Concerns - Essence,Los Angeles Mayor Karen Bass secured a spot in November’s runoff election as many issues shape the race for City Hall.,essence.com,,News,https://www.facebook.com/essence,https://www.essence.com/news/karen-bass-los-angeles-mayoral-runoff-election/
"Black Women In The News: Joy Reid On Her Unexpected MSNBC Exit, Brave Big Chop And Bold Next Chapter - Essence","After decades in traditional media, the pioneering journalist is building something entirely her own. Here’s how she’s doing it.",essence.com,,Video,https://www.facebook.com/essence,https://www.essence.com/video/black-women-in-the-news-joy-reid-next-chapter/
WATCH | Aisha Bowe Shares Her Journey From Community College to Rocket Scientist—Now She’s Headed to Space and Set to Make History - Essence,"The former NASA scientist and tech entrepreneur is joining Blue Origin’s first all-female space crew, bringing her Bahamian roots, STEM advocacy, and full glam along for the ride. In this interview, she reveals how she got there.",essence.com,,Video,https://www.facebook.com/essence,https://www.essence.com/video/watch-aisha-bowe-shares-her-journey-from-community-college-to-rocket-scientist-now-shes-headed-to-space-and-set-to-make-history/
"WATCH | 2025: A Year to Redirect, Not Rest – ESSENCE Black Futures Honorees Speak Candidly About Why We Need Collective Action Now More Than Ever - Essence","ESSENCE Black Futures honorees, Dr. Brandon Frame, Tevon Blair, Dr. Topeka Sam and Mayor W. Mondale Robinson discuss the power of community, education and advocacy in the face of political and social challenges, urging us all to stay informed and engaged.",essence.com,,Video,https://www.facebook.com/essence,https://www.essence.com/video/watch-2025-a-year-to-redirect-not-rest-essence-black-futures-honorees-speak-candidly-about-why-we-need-collective-action-now-more-than-ever/
Videos,,essence.com,,Videos,By Melissa Noel,https://www.essence.com/videos
Grammy Award-Winning Singer Peabo Bryson Under Medical Care Following Stroke - Essence,"Peabo Bryson is under medical care after suffering a stroke, according to his representatives. His family is requesting privacy.",essence.com,,News,https://www.facebook.com/essence,https://www.essence.com/news/peabo-bryson-under-medical-care/
"Op-Ed: The Party We Built, The Bill Has Come Due",Black voters have delivered the Democratic Party victory after victory. The returns have not been mutual.,essence.com,,Politics,Victoria Uwumarogie,https://www.essence.com/news/politics/black-people-democratic-party/
From Ida B. Wells to Selma: The Ongoing Fight to Protect the Vote,"From Ida B. Wells to Selma, advocates argue today's attacks on voting rights demand a new Freedom Summer and renewed public action.",essence.com,,Opinion,Shelby Stewart,https://www.essence.com/news/politics/voting-rights-act-supreme-court-south-freedom-summer/
Rev. Dr. Bernice King Is Calling Us To Action To Protect Black Voting Rights,"As renewed attacks on voting rights sweep the South, King talks to ESSENCE about returning to Selma, the long game of organizing, and why she still has hope.",essence.com,,Community,Victoria Uwumarogie,https://www.essence.com/news/politics/rev-dr-bernice-king-black-voting-rights/
Christian Menefee Defeats Al Green In Texas’ 18th Congressional District Runoff - Essence,Christian Menefee defeated longtime Rep. Al Green in the Democratic primary runoff for Texas’ 18th Congressional District.,essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/christian-menefee-defeats-al-green-tx18-runoff/
How Black Women Fire Survivors In West Altadena Forced A Civil Rights Investigation - Essence,California DOJ opens civil rights investigation after Eaton Fire destroys West Altadena. Survivors demand accountability.,essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/west-altadena-fire-doj-investigation/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/tevon-blair/
Muriel Bowser’s Historic Third Term As D.C. Mayor Sets Blueprint For Black Women In Politics - Essence,"Muriel Bowser reflects on her historic three terms as D.C. mayor, shaping policy, economic growth, and a path forward for Black women.",essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/muriel-bowser-third-term-dc-mayor-black-women-politics/
What Is the SAVE Act? Sen. Lisa Blunt Rochester Says It Could Restrict Millions Of Voters - Essence,"Sen. Lisa Blunt Rochester warns the SAVE Act could restrict voting access for millions, comparing it to Jim Crow-era poll taxes.",essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/lisa-blunt-rochester-save-act-voting-rights-2026/
Kate Middleton Wore Designer Tolu Coker For State Visit With Nigerian President - Essence,Kate Middleton wore a double-breasted coat by the British-Nigerian designer to meet with President Tinubu for the first time in 37 years.,essence.com,,Fashion,https://www.facebook.com/essence,https://www.essence.com/fashion/kate-middleton-tolu-coker-nigerian-president-coat/
- Essence,,essence.com,,Authors,,https://www.essence.com/authors/india-espy-jones/
Op-Ed: Reverend Jesse Jackson Sr.’s Homegoing Was Bound To Be Political - Essence,Rev. Jesse Jackson’s time as an HBCU student leader at NC A&T helped shape his civil rights legacy and reflects a long tradition of Black political leadership.,essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/jesse-jackson-hbcu-student-leadership-legacy/
Congresswoman Jasmine Crockett Concedes Texas Senate Race As Democratic Voter Turnout Breaks State Record - Essence,"Jasmine Crockett ends her Texas Senate bid after losing to James Talarico in the Democratic primary, amid voter confusion and record turnout.",essence.com,,Politics,https://www.facebook.com/essence,https://www.essence.com/news/politics/jasmine-crockett-texas-senate-primary-loss-talarico/
Kamala Harris' Rise And Black Voters' Power Shift The Dynamics Of The 2024 Presidential Election - Essence,Political commentator and democratic strategist Ameshia Cross shares how Harris’ surge is uniting the Democratic Party and what it means for the 2024 election season.,essence.com,,Video,https://www.facebook.com/essence,https://www.essence.com/video/2024-presidential-election-kamala-harris-rise-black-voters-power/
