title,description,source,date_of_publication,category,author,link
Tyrese Finally Explains What Caused His Viral ‘My Shayla’ Moment,Tyrese Gibson is giving us some new insight over what caused his iconic ‘My Shayla’ video to go viral and how he feels about it!,theroot.com,2026-05-01,Entertainment,Shanelle Genai,https://www.theroot.com/tyrese-finally-explains-what-caused-his-viral-my-shayla-2000102829
Ex-Chick-Fil-A Employee Arrested For Alleged $80K Mac and Cheese Caper,Texas police launched a sting operation after a former Chick-fil-A employee allegedly rang up nearly 800 fraudulent orders of mac and cheese trays.,theroot.com,2026-05-01,Crime,Angela Wilson,https://www.theroot.com/ex-chick-fil-a-employee-arrested-for-alleged-80k-mac-a-2000102819
Why the Republican Congress Will Soon Have No Black Leaders,"With no new prominent Black Republican faces to lead the GOP, concerns are growing over whether the party can speak for or relate to Black Americans.",theroot.com,2026-05-01,News,Phenix S Halley,https://www.theroot.com/why-the-republican-congress-will-soon-have-no-black-lea-2000102448
A Running List of Everything President Trump Is Planning to Name After Himself,"From $100 bills with Trump’s signature on it to renaming buildings in his honor, here’s everything President Trump has named or renamed after himself.",theroot.com,2026-05-01,News,Phenix S Halley,https://www.theroot.com/a-running-list-of-everything-president-trump-is-plannin-2000084164
New Details on How D4vd Allegedly Killed Celeste Rivas,D4vd allegedly used a chainsaw to dismember the body of Celeste Rivas after she was killed.,theroot.com,2026-05-01,Criminal Justice,Phenix S Halley,https://www.theroot.com/new-details-on-how-d4vd-allegedly-killed-celeste-rivas-2000102577
Rick Fox Speaks Out After Near-Physical Altercation in the Bahamas,NBA great Rick Fox is in the news for an unfortunate situation that recently took place in the Bahamas. And now he’s providing some clarity on what really went down!,theroot.com,2026-05-01,Entertainment,Shanelle Genai,https://www.theroot.com/rick-fox-speaks-out-after-near-physical-altercation-in-2000102775
All the Times Clarence Thomas Betrayed The Black Community,Here’s all the proof you need that Justice Clarence Thomas often finds himself on the wrong side of Black history.,theroot.com,2026-04-30,News,Phenix S Halley,https://www.theroot.com/all-the-times-clarence-thomas-betrayed-the-black-commun-2000102611
Critics: Here’s Why Trump Wants To Bail Out Spirit Airlines,Critics explore the real reason The Trump administration is nearing a $500 million deal that would save Spirit Airlines.,theroot.com,2026-04-30,News,Angela Wilson,https://www.theroot.com/critics-heres-why-trump-wants-to-bail-out-spirit-airli-2000102402
The Fate of the Anti-Gun Advocate Charged in a Birthday Party Revenge Slaying Has Been Decided,"Moments after Lumumba Sayers Sr. left one of his own anti-gun rallies, he showed up to kill a man in revenge.",theroot.com,2026-04-30,Crime,Phenix S Halley,https://www.theroot.com/the-fate-of-the-anti-gun-advocate-charged-in-a-birthday-2000102506
Why Black Folks Can’t Stop Talking About the ‘Imperfect Women’ Finale,Kerry Washington’s character’s ending in the new Apple TV show has many Black viewers talking—but not for the reason you might think!,theroot.com,2026-04-30,Entertainment,Shanelle Genai,https://www.theroot.com/why-black-folks-cant-stop-talking-about-the-imperfect-w-2000102559
