annotator,annotator_id,article_id,title,source,human_policing_public_safety,sem_score_policing_public_safety,semantic_policing_public_safety,human_voter_suppression,sem_score_voter_suppression,semantic_voter_suppression,human_book_bans_anti-dei,sem_score_book_bans_anti-dei,semantic_book_bans_anti-dei,human_housing_displacement,sem_score_housing_displacement,semantic_housing_displacement,human_maternal_health,sem_score_maternal_health,semantic_maternal_health,human_redlining_fair_housing,sem_score_redlining_fair_housing,semantic_redlining_fair_housing,human_anti-black_surveillance,sem_score_anti-black_surveillance,semantic_anti-black_surveillance,human_reparations,sem_score_reparations,semantic_reparations,human_school_funding,sem_score_school_funding,semantic_school_funding,human_criminal_justice_reform,sem_score_criminal_justice_reform,semantic_criminal_justice_reform,human_environmental_justice,sem_score_environmental_justice,semantic_environmental_justice,human_economic_equity_wealth_gap,sem_score_economic_equity_wealth_gap,semantic_economic_equity_wealth_gap
annotator_1,1,,Get to Know the Ebony Anglers: An All Black Women’s Competitive Fishing Team,ebony.com,0,-0.0728,0,0,-0.0665,0,0,0.0137,0,0,-0.0939,0,0,0.0825,0,0,-0.0539,0,0,0.1435,0,0,-0.0405,0,0,-0.0189,0,0,-0.075,0,0,0.0082,0,0,0.063,0
annotator_1,2,,"‘I didn’t say s—thole, you did!’: Trump revives comments he claimed he didn’t make about African nations and Haiti",thegrio.com,0,0.057,0,0,0.0921,0,0,0.1121,0,0,0.1515,1,0,0.151,1,0,0.103,0,0,0.1894,1,1,0.0588,0,0,0.0584,0,0,0.0644,0,0,0.1825,1,1,0.1796,1
annotator_1,3,,These Black Hollywood stars were style standouts on the Oscars red carpet,thegrio.com,0,0.0536,0,0,-0.0115,0,0,0.017,0,0,-0.0085,0,0,0.1019,0,0,0.0611,0,0,0.0754,0,0,0.061,0,0,0.0432,0,0,0.09,0,0,0.0338,0,1,0.0164,0
annotator_1,4,,Oklahoma Senator Markwayne Mullin Sworn In As DHS Secretary,newsone.com,0,0.1313,0,1,0.123,0,0,-0.0147,0,0,0.0307,0,0,-0.0194,0,0,0.0493,0,0,0.0983,0,0,-0.046,0,0,0.0501,0,0,-0.0155,0,0,0.0169,0,0,-0.0483,0
annotator_1,5,,From Harm to Healing,capitalbnews.org,0,0.2727,1,0,0.1743,1,0,0.2316,1,0,0.3092,1,0,0.3286,1,0,0.2827,1,0,0.3073,1,0,0.1624,1,0,0.2635,1,0,0.1073,0,1,0.6958,1,0,0.1875,1
annotator_1,6,,"No, The War With Iran Didn’t Happen Because Kamala Harris Lost",newsone.com,1,0.0748,0,0,0.0874,0,0,0.0346,0,0,0.0182,0,0,-0.0031,0,0,-0.0351,0,0,0.1724,1,0,-0.008,0,0,0.0278,0,0,-0.1004,0,0,0.0201,0,0,-0.0201,0
annotator_1,7,,Policing The Poor Won’t Make Alabama Or Any Other State Healthier,newsone.com,0,0.2185,1,1,0.1861,1,0,0.1177,0,0,0.2351,1,0,0.2941,1,0,0.2251,1,0,0.2306,1,0,0.1325,0,0,0.2612,1,0,0.1537,1,0,0.1419,0,0,0.255,1
annotator_1,8,,Get Lit! Misty Copeland’s Children Advice Book and Other Black Authors to Read This May,ebony.com,0,0.1189,0,0,0.0602,0,1,0.1562,1,0,-0.0061,0,0,0.0993,0,0,0.125,0,0,0.1477,0,0,0.0555,0,0,0.1214,0,0,0.072,0,0,0.0665,0,0,0.0592,0
annotator_1,9,,Why More Women Are Turning to Cannabis For Relief,theroot.com,0,0.0772,0,0,-0.04,0,0,0.0387,0,0,0.0303,0,1,0.2262,1,0,0.0204,0,0,0.0876,0,0,-0.0672,0,0,0.0784,0,0,0.129,0,0,0.1015,0,0,0.0349,0
annotator_1,10,,Bipartisan Bill Goes Before Over 30 HBCU Presidents To ‘Streamline Federal Funding Opportunities For HBCUs’,afrotech.com,0,-0.0019,0,0,0.0528,0,0,0.1369,0,0,0.0027,0,0,0.0768,0,0,0.1865,1,0,0.1731,1,0,0.1131,0,1,0.2765,1,0,0.1152,0,0,0.067,0,0,0.134,0
annotator_1,11,,Savannah James subs in for LeBron James at the 2025 Met Gala,thegrio.com,0,-0.0661,0,0,-0.0768,0,0,0.028,0,0,-0.0821,0,0,0.0697,0,0,-0.0639,0,0,0.0869,0,0,-0.0585,0,0,0.0299,0,0,-0.0453,0,0,-0.0149,0,1,0.1031,0
annotator_1,12,,"Will You Be Receiving A $2,000 Stimulus Check From The IRS? Here’s What You Need To Know",afrotech.com,0,0.0518,0,0,0.0233,0,0,-0.0941,0,0,0.0552,0,0,0.0498,0,0,0.0731,0,0,-0.0036,0,0,0.119,0,0,0.1407,0,0,0.1542,1,0,0.0054,0,1,0.0288,0
annotator_1,13,,Family Of Shreveport Mass Shooting Suspect Says Signs Were Present Before Incident,newsone.com,1,0.0921,0,0,0.0489,0,0,0.0277,0,0,0.0331,0,0,0.1152,0,0,0.0385,0,0,0.0702,0,0,0.0483,0,0,0.1158,0,0,0.0766,0,0,0.067,0,0,0.0439,0
annotator_1,14,,Hearthrob Ricco Ross Gives Backstory to Whitney Houston’s ‘Saving All My Love’ Video,theroot.com,0,0.1037,0,0,-0.0226,0,0,-0.0025,0,0,-0.0266,0,0,0.0832,0,0,0.0228,0,0,0.1135,0,0,0.0836,0,0,0.0539,0,0,0.0289,0,0,0.0626,0,0,0.111,0
annotator_1,15,,Inside Venus Williams’ Fabulous 5-Day Florida Wedding!,theroot.com,0,-0.0817,0,0,-0.0236,0,0,-0.1125,0,0,-0.118,0,0,0.006,0,0,-0.1263,0,0,-0.0671,0,0,-0.146,0,0,-0.0861,0,0,0.0086,0,0,-0.0781,0,0,-0.0343,0
annotator_1,16,,Everything We Need to See in a ‘Michael’ Movie Sequel,theroot.com,0,0.0244,0,0,-0.0526,0,0,0.1011,0,0,0.0314,0,0,0.0221,0,0,0.0205,0,0,0.0489,0,0,0.0154,0,0,0.0821,0,0,0.001,0,0,0.0262,0,0,0.0707,0
annotator_1,17,,"‘Hunger Games: Sunrise On The Reaping’ Trailer Drops With Joseph Zada, Whitney Peak, Kelvin Harrison Jr. And More",blavity.com,0,-0.0378,0,0,0.0069,0,1,0.0186,0,0,0.0727,0,0,0.0117,0,0,0.0963,0,0,0.1028,0,0,0.1335,0,0,0.0958,0,0,0.1027,0,0,-0.0107,0,0,0.0551,0
annotator_1,18,,These Leaders Are Calling For Americans to Rebel Against Trump Administration,theroot.com,0,0.205,1,1,0.2085,1,0,0.1383,0,0,0.0648,0,0,0.0208,0,0,0.1226,0,0,0.2019,1,0,0.0458,0,0,0.0584,0,0,0.0954,0,0,0.0826,0,0,0.0349,0
annotator_1,19,,"Robert Prevost, first American pope in history of the Catholic Church, will take the name Leo XIV",thegrio.com,0,0.0176,0,0,-0.0004,0,0,0.0153,0,0,-0.0411,0,0,-0.0018,0,0,0.0043,0,0,0.0472,0,0,-0.0568,0,0,-0.0496,0,0,0.0178,0,0,-0.1013,0,0,-0.01,0
annotator_1,20,,"For Rural Black Communities, Winter Storm Fern Hits Where Recovery Never Finished",capitalbnews.org,0,0.1315,0,0,0.1951,1,0,0.044,0,1,0.2009,1,0,0.0728,0,0,0.0504,0,0,0.1179,0,0,0.027,0,0,0.1329,0,0,0.055,0,1,0.1925,1,0,0.0425,0
annotator_1,21,,‘Summer House’ Star Ciara Miller and the Cost of Being the Only Black Woman in the Room,ebony.com,0,0.0621,0,0,0.0504,0,0,0.1292,0,0,0.1462,0,0,0.1735,1,0,0.1873,1,0,0.2064,1,0,0.0832,0,0,0.1848,1,0,0.1225,0,0,0.2057,1,0,0.2118,1
annotator_1,22,,Paris Jackson Received $65M From Michael Jackson’s Estate Amid Legal Dispute Over Executor Payments,afrotech.com,0,-0.0158,0,0,-0.0391,0,0,0.085,0,0,0.0851,0,0,0.0666,0,0,0.0691,0,0,0.0176,0,0,0.1254,0,0,0.084,0,0,0.0652,0,0,0.0323,0,1,0.1425,0
annotator_1,23,,"After LA Fires, Black Altadena Faces Foreclosure and Displacement",capitalbnews.org,0,0.0483,0,0,0.1167,0,0,0.1529,1,1,0.2504,1,0,0.1615,1,1,0.2343,1,0,0.1876,1,0,0.1829,1,0,0.1442,0,0,0.0614,0,0,0.2835,1,0,0.1977,1
annotator_1,24,,"The Wrap-Up: Usher, Bluey Robinson, Keith Lee and More",ebony.com,0,-0.1654,0,0,-0.1237,0,0,-0.0431,0,0,-0.1092,0,0,-0.0891,0,0,-0.0326,0,0,-0.0496,0,0,-0.0403,0,0,0.0185,0,0,-0.1051,0,0,-0.0066,0,0,0.0295,0
annotator_1,25,,Trump’s Rash: What’s Going On Around His Neck And What Did The White House Say?,blavity.com,0,0.0096,0,0,0.0085,0,0,-0.0276,0,0,-0.0108,0,0,0.0572,0,0,0.0276,0,0,0.1673,1,0,-0.0918,0,0,-0.0021,0,0,-0.0744,0,0,0.0712,0,0,-0.0018,0
annotator_1,26,,"‘Yellowstone’s Beth And Rip Spinoff ‘Dutton Ranch’ Reveals, Trailer, Premiere Date And Iamges",blavity.com,0,-0.1166,0,0,-0.0716,0,0,0.0428,0,0,-0.0237,0,0,0.024,0,0,-0.0099,0,0,0.092,0,0,0.0649,0,0,0.0478,0,0,-0.0103,0,0,0.0491,0,0,-0.0606,0
annotator_1,27,,Mark Zuckerberg Bets Big On The Future Of AI With Meta ‘Superintelligence’ AI Team Taking The Stage,afrotech.com,0,-0.0544,0,0,-0.1058,0,0,-0.0526,0,0,-0.0833,0,0,-0.0662,0,0,-0.0623,0,0,0.1793,1,0,-0.0828,0,0,-0.0227,0,0,-0.0344,0,0,0.0252,0,0,0.0854,0
annotator_1,28,,The Wild Story of How Kim Kardashian Said Wesley Snipes Saved Her Life—And What Happened After,theroot.com,0,0.1403,0,0,0.0052,0,0,0.0368,0,0,0.0085,0,0,0.1171,0,0,0.0242,0,0,0.1584,1,0,0.0002,0,0,0.0729,0,0,0.0659,0,0,0.0462,0,0,0.0455,0
annotator_1,29,,"KWN, ‘The Female Version of Chris Brown’ Got Black Men Worried And For Good Reason",theroot.com,0,0.0395,0,0,-0.0024,0,0,0.1041,0,0,-0.0125,0,0,0.1264,0,0,-0.0044,0,0,0.2069,1,0,-0.0071,0,0,0.1039,0,0,-0.0456,0,0,0.0983,0,0,0.1538,1
annotator_1,30,,Jay-Z Speaks On The Sexual Assault Lawsuit and How Blue Ivy Showed Support,theroot.com,1,0.1362,0,0,-0.0021,0,0,0.1006,0,0,-0.0436,0,0,0.061,0,0,0.0091,0,0,0.0983,0,0,-0.0236,0,0,0.0287,0,0,0.0939,0,0,0.1297,0,0,0.0739,0
annotator_1,31,,West African Woman Attempts Suicide After U.S. Deportation to Non-Native Country,capitalbnews.org,0,0.0467,0,0,0.0303,0,0,0.2187,1,1,0.132,0,0,0.1713,1,0,0.0893,0,0,0.1338,0,0,0.0883,0,0,0.0202,0,0,0.0993,0,0,0.1019,0,0,0.0869,0
annotator_1,32,,Ghana Attracts $1 Billion UAE Investment To Launch AI Innovation Hub By 2027,afrotech.com,0,0.0379,0,0,-0.07,0,0,0.0132,0,0,-0.0015,0,0,0.0433,0,0,0.0237,0,0,0.2056,1,0,-0.0096,0,0,0.0898,0,0,-0.066,0,0,0.1039,0,1,0.1369,0
annotator_1,33,,‘God Squad’ Removes Endangered Species Protections In Gulf Of Mexico,newsone.com,0,0.1008,0,0,0.1688,1,0,0.0532,0,0,0.0246,0,0,-0.0077,0,0,-0.0046,0,0,0.1165,0,0,-0.0179,0,0,0.0341,0,0,-0.0425,0,1,0.114,0,0,0.0017,0
annotator_1,34,,Misty Copeland Opens New Doors as She Preps for Retirement from the American Ballet Theater,ebony.com,0,-0.0676,0,0,-0.1167,0,0,-0.0803,0,0,-0.1041,0,0,-0.0184,0,0,0.009,0,0,-0.1128,0,0,-0.0296,0,0,-0.0072,0,0,-0.0047,0,0,-0.0976,0,0,-0.0292,0
annotator_1,35,,Largest ICE Facility Planned at Georgia Private Prison With Deadly Record,capitalbnews.org,1,0.0908,0,0,-0.0346,0,0,0.0508,0,0,-0.0218,0,0,-0.0235,0,0,0.0082,0,0,0.1335,0,0,0.0217,0,0,0.0371,0,0,0.1196,0,0,0.0785,0,0,-0.0457,0
annotator_1,36,,The ‘RHOA’ Season 17 Premiere Proves Its In Its Resurrection Era: The Best Since Season 6?,blavity.com,0,0.0625,0,0,-0.0312,0,0,0.0222,0,0,0.0992,0,0,0.0594,0,0,0.1003,0,0,0.0602,0,0,0.0121,0,0,-0.0087,0,0,0.0458,0,0,0.0064,0,0,-0.018,0
annotator_1,37,,"Trump, Mike Johnson Reveal GOP Rep's 'Terminal Diagnosis' On Camera",newsone.com,0,0.0208,0,0,0.0804,0,0,-0.0741,0,0,-0.0196,0,0,0.0309,0,0,-0.0178,0,0,-0.0002,0,0,-0.0863,0,0,-0.0256,0,0,-0.0114,0,0,-0.015,0,0,-0.0359,0
annotator_1,38,,New Movement For Black Lives Project Aims To Build Governing Power,newsone.com,1,0.3352,1,0,0.2034,1,0,0.2281,1,0,0.2776,1,0,0.2621,1,0,0.3052,1,0,0.3783,1,0,0.2302,1,0,0.2733,1,0,0.1484,0,0,0.3176,1,0,0.2247,1
annotator_1,39,,Nia Long’s Brutally Honest Take on Dating After Divorce Has Fans Loving Her Even More,theroot.com,0,-0.0048,0,0,-0.0283,0,0,0.0114,0,0,0.0044,0,0,0.0269,0,0,-0.0024,0,0,0.0399,0,0,-0.0864,0,0,0.0699,0,0,-0.0056,0,0,0.0098,0,0,0.0188,0
annotator_1,40,,Uncle Nearest CEO Fawn Weaver Affirms Her ‘Team Remains Unshaken And Unmoved’ After Judge Orders Receivership For Distillery,afrotech.com,0,-0.1354,0,0,-0.0884,0,0,0.0015,0,0,-0.081,0,0,-0.0281,0,0,0.0458,0,0,0.0088,0,1,-0.0633,0,0,0.0207,0,0,-0.0384,0,0,0.0671,0,0,0.1127,0
annotator_1,41,,Fani Willis Responds to Being Removed From Trump RICO Case,capitalbnews.org,0,0.1679,1,0,0.1733,1,0,0.1509,1,0,0.0005,0,0,0.0775,0,0,0.1587,1,0,0.1507,1,0,-0.0017,0,0,0.0648,0,0,0.1601,1,0,0.125,0,0,0.0485,0
annotator_1,42,,Who Is The Richest Black Man In The World? A Look At Aliko Dangote’s Wealth,afrotech.com,0,-0.1273,0,0,-0.0854,0,0,0.0688,0,0,0.0214,0,0,0.1839,1,0,0.0525,0,0,0.1901,1,0,0.1078,0,0,0.1236,0,0,-0.0267,0,0,0.1835,1,1,0.3727,1
annotator_1,43,,This Texas County Is the Deadliest Place in the U.S. for Black Mothers to Give Birth,capitalbnews.org,0,0.0371,0,0,0.0688,0,0,0.0583,0,0,0.0405,0,1,0.3556,1,0,0.0578,0,0,0.0735,0,0,-0.0644,0,0,0.0824,0,0,0.0003,0,0,0.084,0,0,0.0207,0
annotator_1,44,,Kim Kardashian’s Sons Steal the Show at Her Law School Graduation Party,theroot.com,0,0.1471,0,0,-0.03,0,0,0.0778,0,0,0.038,0,0,0.1252,0,0,0.0866,0,0,0.119,0,0,0.034,0,0,0.1265,0,0,0.1189,0,0,0.0314,0,0,0.1717,1
annotator_1,45,,Should The Atlanta Hawks Be Able To Have Their Magic City Night?,blavity.com,0,0.0833,0,0,0.0301,0,0,0.0739,0,0,0.065,0,0,0.0471,0,0,0.071,0,0,0.0609,0,0,0.0139,0,0,0.0736,0,0,0.0032,0,0,0.0676,0,0,0.1176,0
annotator_1,46,,Why Yung Miami’s Growing Net Worth Is A Win For Black Women In Media,blavity.com,0,0.0485,0,0,-0.0612,0,0,0.0529,0,0,0.031,0,0,0.1093,0,0,0.0349,0,0,0.1816,1,0,0.0361,0,0,0.0901,0,0,0.0334,0,0,0.1298,0,1,0.2072,1
