title,description,source,date_of_publication,category,author,link
Warner Bros. Discovery’s Shareholders Approve $110B Merger With Paramount,"Warner Bros. Discovery’s shareholders have approved a merger with Paramount Skydance Corp. As AFROTECH™ previously told you, a bidding war had been underway for Warner Bros. Discovery to merge with either Paramount or Netflix late last year. Initially, Netflix, which offered a deal with a total enterprise value of approximately $82.7 billion (equity value of $72.0 billion),… Continue reading Warner Bros. Discovery’s Shareholders Approve $110B Merger With Paramount",afrotech.com,2026-04-25,Technology,Samantha Dorisca,https://afrotech.com/warner-bros-discoverys-shareholder-approve-merger-with-paramount
Pat McGrath Labs Exits Chapter 11 Bankruptcy And Enters New Era,"Pat McGrath Labs is no longer under Chapter 11 bankruptcy. As AFROTECH™ previously reported, the beauty company founded by British makeup veteran Pat McGrath had filed to “restructure its balance sheet and to forge a path to thrive,” according to a company spokesperson. The majority of the debt had resulted from a loan obtained from… Continue reading Pat McGrath Labs Exits Chapter 11 Bankruptcy And Enters New Era",afrotech.com,2026-04-24,Business,Samantha Dorisca,https://afrotech.com/pat-mcgrath-exits-chapter-11-bankruptcy
Audit Finds NC A&T Wrongfully Awarded $5M In Aid To Students With Personal Or Professional Ties To The University,North Carolina Agricultural and Technical State University (N.C A&T) was investigated for improperly distributing financial aid to some students. The News & Observer reports that a probe was conducted into N.C. A&T’s Division of Business and Finance for distributing more than $5 million in financial aid from the school’s Administrative Recovery Funds between 2017 and… Continue reading Audit Finds NC A&T Wrongfully Awarded $5M In Aid To Students With Personal Or Professional Ties To The Universit…,afrotech.com,2026-04-24,Hbcu,Samantha Dorisca,https://afrotech.com/audit-finds-nc-at-wrongfully-awarded-5m-in-aid-to-students-with-personal-or-professional-ties-to-the-university
Zoom And Deloitte Scale Back Employee Benefits In Move That Could Signal Broader Workplace Shift,"Employees at two major companies are seeing changes to their benefits as the technology and professional services industries adjust their compensation strategies. Zoom has reduced its paid parental leave this year, offering 18 weeks for birthing parents — down from 22 to 24 weeks — and 10 weeks for non-birthing parents, down from 16, Business… Continue reading Zoom And Deloitte Scale Back Employee Benefits In Move That Could Signal Broader Workplace Shift",afrotech.com,2026-04-24,Business,ShaCamree Gowdy,https://afrotech.com/zoom-deloitte-scale-back-employee-benefits-workforce
"Dr. Bombay Ice Cream, A Brand Co-Founded By Snoop Dogg, Cordell Broadus, And Now Lil Baby, Opens First Storefront","Celebrity-backed Dr. Bombay Ice Cream continues to reach new heights. As AFROTECH™ previously reported, the Hip-Hop-style ice cream brand was co-founded in 2023 by Snoop Dogg and his son Cordell Broadus (chief marketing officer). Thanks to the brand’s inaugural seven flavors: Strawberry Cream Dream, Baked Blueberry Muffin, Tropical Sherbet Swizzle, Peanut Butter Jelly Time, Iced… Continue reading Dr.",afrotech.com,2026-04-23,Business,Samantha Dorisca,https://afrotech.com/snoop-dogg-grand-opening-of-ice-cream-storefront-venice-beach
How Jamie Adenuga Made Millions In Net Worth With Ringtone Raps And Family Ties,"If you’re a fan of the UK rap scene, you may already be familiar with the artist Jamie Adenuga, AKA JME. The rapper, best known for co-founding the label Boy Better Know, has risen to prominence over the years thanks to his innovative sound, creative spark and influence in UK grime. JME was previously a… Continue reading How Jamie Adenuga Made Millions In Net Worth With Ringtone Raps And Family Ties",afrotech.com,2026-04-23,Entertainment,TeeJay Small,https://afrotech.com/jamie-adenuga-net-worth
Florida Gov. Ron DeSantis Signs Bill Eliminating DEI Programs In Local Governments And Establishing Penalties For Violations,"Florida Governor Ron DeSantis has signed a bill that will impact diversity, equity, and inclusion (DEI) efforts in the state. According to a news release, DeSantis signed two pieces of legislation on Wednesday, April 22. One specifically targets DEI efforts. SB 1134 is a bill that bars counties and municipalities from funding, promoting, or establishing… Continue reading Florida Gov. Ron DeSantis Signs Bill Eliminating DEI Programs In Local Governments And Establishing Penalties For Violations",afrotech.com,2026-04-23,Business,Samantha Dorisca,https://afrotech.com/florida-gov-ron-desantis-signs-bill-eliminating-dei-programs
House Bill 3416 Proposes Allocation Of Gambling Proceeds In Missouri To Support State’s HBCUs,"A bill has been proposed to find new ways to support Missouri’s Historically Black Colleges and Universities (HBCUs). According to the News Tribune, the Missouri House Higher Education and Workforce Development Committee held a discussion on House Bill 3416 in early April. The legislation proposes funding for Lincoln University and Harris-Stowe State University and would… Continue reading House Bill 3416 Proposes Allocation Of Gambling Proceeds In Missouri To Support State’s HBCUs",afrotech.com,2026-04-23,Education,Samantha Dorisca,https://afrotech.com/house-bill-3416-gambling-proceeds-in-missouri-to-support-state-hbcus
"Taylor Rooks Foundation And Undue Medical Debt Erase $2.1M In Medical Debt For Gwinnett County, GA, Residents","Taylor Rooks is helping people in her hometown erase medical debt. Foundation As AFROTECH™ previously reported, the Emmy Award-nominated journalist and producer launched the Taylor Rooks Foundation in 2025 to empower Black families in education, health, and opportunity regardless of “zip code, background, or bank account.” Its three pillars of focus are reach (educational resources,… Continue reading Taylor Rooks Foundation And Undue Medical Debt Erase $2.1M In Medical Debt For Gwinnett County,…",afrotech.com,2026-04-23,Business,Samantha Dorisca,https://afrotech.com/taylor-rooks-foundation-and-undue-medical-debt-erase-2-1m-in-medical-debt-for-gwinnett-county-ga-residents
Married Couple In Tulsa Expands Wireless Company With A Give-Back Model For Education Nonprofits And More,"This Oklahoma couple is behind Love Mobile, The Cellphone Company That Gives Back®. Koddi Dunn and Wade Dunn Jr. have joined forces in business, bringing experience in their respective fields. Koddi has worked across the marketing, media, telecommunications, and nonprofit sectors and has assisted companies such as Meta, Greenwood, Coinbase, and Google through both contract… Continue reading Married Couple In Tulsa Expands Wireless Company With A Give-Back Model For Education Nonprofits And More",afrotech.com,2026-04-23,Technology,Samantha Dorisca,https://afrotech.com/tulsa-couple-launches-wireless-company-with-a-give-back-model
