annotator,method,topic,f1,kappa,precision,recall,tp,fp,fn,tn
annotator_1,Keyword Pipeline,Policing/Public Safety,0.4082,0.3259,0.3846,0.4348,10,16,13,161
annotator_1,Keyword Pipeline,Voter Suppression,0.4667,0.4243,0.4118,0.5385,7,10,6,177
annotator_1,Keyword Pipeline,Book Bans/Anti-DEI,0.0952,0.065,0.0588,0.25,1,16,3,180
annotator_1,Keyword Pipeline,Housing/Displacement,0.4615,0.4243,0.5,0.4286,6,6,8,180
annotator_1,Keyword Pipeline,Maternal Health,0.5,0.4863,0.375,0.75,3,5,1,191
annotator_1,Keyword Pipeline,Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,0,5,195
annotator_1,Keyword Pipeline,Anti-Black Surveillance,0.5,0.4962,1.0,0.3333,1,0,2,197
annotator_1,Keyword Pipeline,Reparations,0.0,-0.0084,0.0,0.0,0,1,5,194
annotator_1,Keyword Pipeline,School Funding,0.4286,0.4078,0.4286,0.4286,3,4,4,189
annotator_1,Keyword Pipeline,Criminal Justice Reform,0.1818,0.1604,0.25,0.1429,1,3,6,190
annotator_1,Keyword Pipeline,Environmental Justice,0.4762,0.4505,0.7143,0.3571,5,2,9,184
annotator_1,Keyword Pipeline,Economic Equity/Wealth Gap,0.2373,0.1567,0.5833,0.1489,7,5,40,148
annotator_1,Semantic Tagger,Policing/Public Safety,0.4,0.3073,0.3438,0.4783,11,21,12,156
annotator_1,Semantic Tagger,Voter Suppression,0.4286,0.3722,0.3103,0.6923,9,20,4,167
annotator_1,Semantic Tagger,Book Bans/Anti-DEI,0.1538,0.1223,0.0857,0.75,3,32,1,164
annotator_1,Semantic Tagger,Housing/Displacement,0.4848,0.4397,0.4211,0.5714,8,11,6,175
annotator_1,Semantic Tagger,Maternal Health,0.1364,0.1038,0.075,0.75,3,37,1,159
annotator_1,Semantic Tagger,Redlining/Fair Housing,0.1667,0.1292,0.0968,0.6,3,28,2,167
annotator_1,Semantic Tagger,Anti-Black Surveillance,0.0811,0.0538,0.0423,1.0,3,68,0,129
annotator_1,Semantic Tagger,Reparations,0.0,-0.0317,0.0,0.0,0,8,5,187
annotator_1,Semantic Tagger,School Funding,0.2927,0.2491,0.1765,0.8571,6,28,1,165
annotator_1,Semantic Tagger,Criminal Justice Reform,0.2609,0.223,0.1875,0.4286,3,13,4,180
annotator_1,Semantic Tagger,Environmental Justice,0.25,0.162,0.1667,0.5,7,35,7,151
annotator_1,Semantic Tagger,Economic Equity/Wealth Gap,0.4318,0.2725,0.4634,0.4043,19,22,28,131
annotator_1,Hybrid OR (Union),Policing/Public Safety,0.4348,0.3324,0.3261,0.6522,15,31,8,146
annotator_1,Hybrid OR (Union),Voter Suppression,0.375,0.3096,0.2571,0.6923,9,26,4,161
