annotator,annotator_id,article_id,title,source,pipeline_topics,pipeline_phrases,human_policing_public_safety,pipeline_policing_public_safety,human_voter_suppression,pipeline_voter_suppression,human_book_bans_anti-dei,pipeline_book_bans_anti-dei,human_housing_displacement,pipeline_housing_displacement,human_maternal_health,pipeline_maternal_health,human_redlining_fair_housing,pipeline_redlining_fair_housing,human_anti-black_surveillance,pipeline_anti-black_surveillance,human_reparations,pipeline_reparations,human_school_funding,pipeline_school_funding,human_criminal_justice_reform,pipeline_criminal_justice_reform,human_environmental_justice,pipeline_environmental_justice,human_economic_equity_wealth_gap,pipeline_economic_equity_wealth_gap
annotator_1,1,1,Get to Know the Ebony Anglers: An All Black Women’s Competitive Fishing Team,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,2,2,"‘I didn’t say s—thole, you did!’: Trump revives comments he claimed he didn’t make about African nations and Haiti",thegrio.com,Policing & Public Safety,"{""Policing & Public Safety"": [""immigration enforcement""]}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
annotator_1,3,3,These Black Hollywood stars were style standouts on the Oscars red carpet,thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,4,4,Oklahoma Senator Markwayne Mullin Sworn In As DHS Secretary,newsone.com,Policing & Public Safety,"{""Policing & Public Safety"": [""homeland security""]}",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,5,5,From Harm to Healing,capitalbnews.org,Environmental Justice,"{""Environmental Justice"": [""environmental racism"", ""toxic waste""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
annotator_1,6,6,"No, The War With Iran Didn’t Happen Because Kamala Harris Lost",newsone.com,,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,7,7,Policing The Poor Won’t Make Alabama Or Any Other State Healthier,newsone.com,Voter Suppression; Maternal Health,"{""Voter Suppression"": [""jim crow""], ""Maternal Health"": [""maternal mortality""]}",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,8,8,Get Lit! Misty Copeland’s Children Advice Book and Other Black Authors to Read This May,ebony.com,,{},0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,9,9,Why More Women Are Turning to Cannabis For Relief,theroot.com,Maternal Health,"{""Maternal Health"": [""doula""]}",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,10,10,Bipartisan Bill Goes Before Over 30 HBCU Presidents To ‘Streamline Federal Funding Opportunities For HBCUs’,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
annotator_1,11,11,Savannah James subs in for LeBron James at the 2025 Met Gala,thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,12,12,"Will You Be Receiving A $2,000 Stimulus Check From The IRS? Here’s What You Need To Know",afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,13,13,Family Of Shreveport Mass Shooting Suspect Says Signs Were Present Before Incident,newsone.com,Policing & Public Safety,"{""Policing & Public Safety"": [""police department""]}",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,14,14,Hearthrob Ricco Ross Gives Backstory to Whitney Houston’s ‘Saving All My Love’ Video,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,15,15,Inside Venus Williams’ Fabulous 5-Day Florida Wedding!,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
